# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 13 10:46:08 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
322,EPIC 203771098,EPIC 203771098.02,K2-24 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,20.88501600,2456905.795940,26.545186,0.04511,5.256,1.07,11.648,9.180
323,EPIC 203771098,EPIC 203771098.02,K2-24 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,20.88526000,2456905.794380,,0.04264,7.070,1.51,11.648,9.180
324,EPIC 203771098,EPIC 203771098.01,K2-24 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,42.36301000,2456915.625160,,0.05913,9.800,1.51,11.648,9.180
325,EPIC 203776696,EPIC 203776696.01,K2-52 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h26m26.74s,246.611420,-24d58m11.8s,-24.969948,3.53539750,2456896.023000,,0.07463,1.980,0.23,15.037,11.853
326,EPIC 203776696,EPIC 203776696.01,K2-52 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,16h26m26.74s,246.611420,-24d58m11.8s,-24.969948,3.53482000,2456896.028000,,0.06810,11.100,1.49,15.037,11.853
327,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27663950,2456901.895000,,0.06088,0.724,0.11,13.468,10.657
328,EPIC 203823381,EPIC 203823381.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,0,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27580000,2456901.892500,,0.05400,10.200,1.60,13.468,10.657
329,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,,1,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27810000,2456893.602260,,,,,13.468,10.657
330,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.43032491,2456898.852285,,,,,12.241,10.142
331,EPIC 203826436,EPIC 203826436.01,K2-37 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.42973000,2456898.854700,,0.02760,2.650,0.87,12.241,10.142
332,EPIC 203826436,EPIC 203826436.02,K2-37 d,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,14.09190000,2456907.231400,,0.02710,2.590,0.87,12.241,10.142
333,EPIC 203826436,EPIC 203826436.03,K2-37 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,4.44366490,2456898.114000,,0.01694,1.500,0.72,12.241,10.142
334,EPIC 203826436,EPIC 203826436.02,K2-37 d,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,14.09090700,2456907.236000,,0.02619,2.330,0.72,12.241,10.142
335,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.42950230,2456898.856000,,0.02925,2.500,0.72,12.241,10.142
336,EPIC 203826436,EPIC 203826436.01,K2-37 c,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.42958200,2456898.855890,15.269686,0.02910,2.598,0.82,12.241,10.142
337,EPIC 203826436,EPIC 203826436.02,K2-37 d,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,14.09099600,2456907.235970,34.341689,0.02702,2.412,0.82,12.241,10.142
338,EPIC 203826436,EPIC 203826436.03,K2-37 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,4.44377400,2456898.112860,10.785318,0.01709,1.526,0.82,12.241,10.142
339,EPIC 203826436,EPIC 203826436.03,K2-37 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,4.44118000,2456893.700300,,0.01740,1.660,0.87,12.241,10.142
340,EPIC 203849738,EPIC 203849738.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h09m52.88s,242.470322,-24d41m53.5s,-24.698206,0.61990000,2456894.600000,,,,,14.390,10.926
341,EPIC 203867512,EPIC 203867512.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h52m59.36s,253.247314,-24d37m34.5s,-24.626259,28.46563300,2456918.548000,,0.16420,18.400,0.96,11.858,10.465
342,EPIC 203868608,EPIC 203868608.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h17m18.99s,244.329117,-24d37m18.7s,-24.621849,4.54170000,2456893.768270,,,,,13.324,10.760
343,EPIC 203914123,EPIC 203914123.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,,,1,16h17m31.38s,244.380737,-24d26m13.3s,-24.437021,83830.00000000,2456946.278000,,0.14900,12.000,0.74,9.039,6.321
344,EPIC 203929178,EPIC 203929178.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,1,16h49m41.45s,252.422714,-24d22m25.7s,-24.373808,1.15388600,2456893.581200,,0.53000,99.000,1.80,11.160,10.519
345,EPIC 203942067,EPIC 203942067.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h15m17.87s,243.824478,-24d19m09.2s,-24.319227,1.63989340,2456895.547000,,0.43920,33.000,0.79,12.080,10.342
346,EPIC 204043888,EPIC 204043888.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,1,16h48m58.51s,252.243805,-23d53m29.1s,-23.891418,1.48624300,2456894.196700,,0.28000,58.000,1.87,15.218,11.692
347,EPIC 204057095,EPIC 204057095.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h11m00.76s,242.753174,-23d50m25.3s,-23.840353,23.21058500,2456913.627000,,0.06981,5.700,0.81,11.583,9.847
348,EPIC 204129699,EPIC 204129699.01,K2-31 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h21m45.78s,245.440750,-23d32m52.3s,-23.547865,1.25785420,2456893.598770,,0.35000,34.000,0.90,10.607,8.866
349,EPIC 204129699,EPIC 204129699.01,K2-31 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h21m45.78s,245.440750,-23d32m52.3s,-23.547865,1.25784930,2456894.857000,,0.09261,7.000,0.81,10.607,8.866
350,EPIC 204129699,EPIC 204129699.01,K2-31 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,1,16h21m45.78s,245.440750,-23d32m52.3s,-23.547865,1.25783320,2456896.115851,,,,,10.607,8.866
351,EPIC 204143627,EPIC 204143627.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h15m59.25s,243.996887,-23d29m36.3s,-23.493410,1.12400000,2456893.726810,,,,,14.757,11.312
352,EPIC 204165788,EPIC 204165788.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h25m35.08s,246.396179,-23d24m18.8s,-23.405212,0.74740000,2456893.140590,,,,,7.281,5.775
353,EPIC 204221263,EPIC 204221263.01,K2-38 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,16h00m08.06s,240.033585,-23d11m21.4s,-23.189287,10.56098000,2456900.474600,,0.01950,2.410,1.12,11.210,9.470
354,EPIC 204221263,EPIC 204221263.02,K2-38 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,16h00m08.06s,240.033585,-23d11m21.4s,-23.189287,4.01628000,2456896.875300,,0.01329,1.640,1.12,11.210,9.470
355,EPIC 204276894,EPIC 204276894.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,,1,16h34m39.22s,248.663422,-22d58m14.8s,-22.970772,1.95700000,2456893.373130,,,,,11.466,5.743
356,EPIC 204312847,EPIC 204312847.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h41m39.29s,250.413696,-22d49m42.4s,-22.828453,24.19361300,2456906.330000,,0.37780,30.700,0.87,11.370,9.658
357,EPIC 204346718,EPIC 204346718.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h21m16.81s,245.320053,-22d41m36.7s,-22.693525,0.64292573,2456896.425445,,,,,14.626,12.225
358,EPIC 204364515,EPIC 204364515.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h01m21.56s,240.339813,-22d37m26.5s,-22.624035,1.45620000,2456894.298090,,,,,15.778,10.052
359,EPIC 204432860,EPIC 204432860.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h02m00.39s,240.501633,-22d21m23.9s,-22.356627,2.87420000,2456893.408700,,,,,12.704,8.842
360,EPIC 204489514,EPIC 204489514.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,1,16h03m01.61s,240.756729,-22d07m52.4s,-22.131222,10.22360000,2456893.641500,,0.61000,132.000,2.04,14.080,11.729
361,EPIC 204506777,EPIC 204506777.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h07m17.79s,241.824112,-22d03m36.6s,-22.060158,1.62810000,2456893.450740,,,,,8.752,7.047
362,EPIC 204576757,EPIC 204576757.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h28m37.83s,247.157608,-21d46m03.0s,-21.767506,23.27766900,2456898.089000,,0.45690,32.800,0.68,13.668,11.193
363,EPIC 204634789,EPIC 204634789.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,,,1,16h31m47.26s,247.946930,-21d31m24.6s,-21.523508,2.20000000,2456921.016000,,0.08800,8.400,0.87,12.292,10.361
364,EPIC 204649811,EPIC 204649811.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h19m16.97s,244.820694,-21d27m36.1s,-21.460026,2.64594828,2456897.498451,,,,,11.610,10.298
365,EPIC 204649811,EPIC 204649811.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,16h19m16.97s,244.820694,-21d27m36.1s,-21.460026,2.64541650,2456894.861000,,0.13750,9.470,0.79,11.610,10.298
366,EPIC 204658292,EPIC 204658292.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h14m49.65s,243.706879,-21d25m25.1s,-21.423630,20.98296043,2456911.584929,,,,,14.421,12.073
367,EPIC 204676499,EPIC 204676499.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h23m15.34s,245.813904,-21d20m45.9s,-21.346094,1.52717920,2456897.468829,,,,,14.659,12.421
368,EPIC 204750116,EPIC 204750116.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,,0,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.43020000,2456875.443930,,,,,11.526,9.623
369,EPIC 204750116,EPIC 204750116.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44650100,2456898.838000,,0.02578,2.710,0.87,11.526,9.623
370,EPIC 204750116,EPIC 204750116.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44687300,2456898.835860,27.922818,0.02691,2.897,0.99,11.526,9.623
371,EPIC 204760247,EPIC 204760247.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,15h57m40.46s,239.418594,-20d58m59.1s,-20.983082,9.20480000,2456903.570000,,,,,5.954,5.734
372,EPIC 204763194,EPIC 204763194.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,15h59m46.05s,239.941864,-20d58m11.7s,-20.969925,2.32046168,2456898.023498,,,,,9.973,8.474
373,EPIC 204873331,EPIC 204873331.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,1,16h38m13.20s,249.555008,-20d28m34.7s,-20.476303,1.31790000,2456894.137000,,0.48000,55.000,1.07,12.337,10.488
374,EPIC 204882444,EPIC 204882444.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,15h55m05.13s,238.771393,-20d26m07.8s,-20.435513,1.14880000,2456893.455570,,,,,13.966,9.744
375,EPIC 204884005,EPIC 204884005.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h37m19.55s,249.331451,-20d25m42.2s,-20.428377,46.40651000,2456924.032000,,0.03779,3.350,0.73,11.514,9.417
376,EPIC 204888276,EPIC 204888276.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,15h59m59.44s,239.997681,-20d24m32.5s,-20.409025,16.56315500,2456900.532000,,0.02876,1.660,0.48,12.542,9.251
377,EPIC 204890128,EPIC 204890128.01,K2-53 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,1,16h16m34.04s,244.141815,-20d24m01.9s,-20.400534,12.20911650,2456896.382329,,,,,11.888,9.664
378,EPIC 204890128,EPIC 204890128.01,K2-53 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h16m34.04s,244.141815,-20d24m01.9s,-20.400534,12.20763200,2456896.385000,,0.02830,2.470,0.72,11.888,9.664
379,EPIC 204890128,EPIC 204890128.01,K2-53 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h16m34.04s,244.141815,-20d24m01.9s,-20.400534,12.20540000,2456896.391100,,0.02670,2.500,0.85,11.888,9.664
380,EPIC 204914585,EPIC 204914585.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h08m13.91s,242.057953,-20d17m18.2s,-20.288393,18.35777300,2456895.192000,,0.01924,1.740,0.75,12.492,10.546
381,EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,0,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98205000,2456894.731400,,0.02060,2.300,1.01,12.183,
382,EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98189210,2456894.731000,,0.02159,2.660,1.04,12.183,
383,EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,0,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98049071,2456899.718676,,,,,12.183,
384,EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98183800,2456894.731370,8.556132,0.02243,2.393,0.98,12.183,
385,EPIC 205040048,EPIC 205040048.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,16h08m40.44s,242.168488,-19d41m45.0s,-19.695845,3.30551910,2456894.546000,,0.03401,1.270,0.35,14.989,11.453
386,EPIC 205046529,EPIC 205046529.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,,1,16h10m26.39s,242.609940,-19d39m51.1s,-19.664183,1.83610000,2456892.632540,,,,,13.725,10.402
387,EPIC 205047565,EPIC 205047565.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h40m10.49s,250.043701,-19d39m33.0s,-19.659178,14.54444130,2456906.636582,,,,,14.654,10.916
388,EPIC 205050711,EPIC 205050711.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h50m39.27s,252.663620,-19d38m38.2s,-19.643932,4.30221683,2456899.260955,,,,,10.588,9.233
389,EPIC 205064326,EPIC 205064326.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,0,16h47m33.22s,251.888428,-19d34m45.5s,-19.579313,8.02415000,2456896.666300,,0.30000,194.000,6.10,12.839,9.794
390,EPIC 205064326,EPIC 205064326.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,16h47m33.22s,251.888428,-19d34m45.5s,-19.579313,8.02413060,2456896.667000,,0.08498,4.420,0.58,12.839,9.794
391,EPIC 205064326,EPIC 205064326.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,16h47m33.22s,251.888428,-19d34m45.5s,-19.579313,8.02678456,2456896.656177,,,,,12.839,9.794
392,EPIC 205071984,EPIC 205071984.03,K2-32 c,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,20.66162300,2456899.422120,33.515242,0.03403,3.115,0.84,12.005,9.821
393,EPIC 205071984,EPIC 205071984.02,K2-32 d,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,31.71506100,2456903.792940,44.666089,0.03730,3.414,0.84,12.005,9.821
394,EPIC 205071984,EPIC 205071984.03,K2-32 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,20.66098700,2456899.423000,,0.03769,2.880,0.72,12.005,9.821
395,EPIC 205071984,EPIC 205071984.01,K2-32 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,8.99191560,2456900.927000,,0.05639,4.790,0.72,12.005,9.821
396,EPIC 205071984,EPIC 205071984.02,K2-32 d,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,31.71586800,2456903.792000,,0.04201,3.130,0.72,12.005,9.821
397,EPIC 205071984,EPIC 205071984.01,K2-32 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,8.99002105,2456900.937074,,,,,12.005,9.821
398,EPIC 205071984,EPIC 205071984.02,K2-32 d,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,31.71540000,2456903.790100,,0.03710,3.770,0.92,12.005,9.821
